::1 - - [02/May/2024:10:06:33 +0000] "GET / HTTP/1.1" 404 27 "-" "PostmanRuntime/7.37.3"
::1 - - [02/May/2024:10:09:04 +0000] "POST /admin/register HTTP/1.1" 500 140 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:10:13:41 +0000] "POST /admin/register HTTP/1.1" 500 140 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:10:14:34 +0000] "POST /admin/register HTTP/1.1" 500 140 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:10:15:32 +0000] "POST /admin/register HTTP/1.1" 500 140 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:10:19:42 +0000] "POST /admin/register HTTP/1.1" 500 30 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:10:22:17 +0000] "POST /admin/register HTTP/1.1" 500 48 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:10:25:02 +0000] "POST /admin/register HTTP/1.1" 404 42 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:10:25:41 +0000] "POST /admin/register HTTP/1.1" 201 252 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:10:26:03 +0000] "POST /admin/login HTTP/1.1" 200 224 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:11:46:18 +0000] "POST /student/create-account HTTP/1.1" 500 35 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:11:46:28 +0000] "POST /student/create-account HTTP/1.1" 201 312 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:11:49:44 +0000] "POST /letter/66337d14aa0eea350001e812/create HTTP/1.1" 500 47 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:11:49:55 +0000] "POST /letter/66337d14aa0eea350001e812/create HTTP/1.1" 500 47 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:11:50:51 +0000] "POST /letter/create HTTP/1.1" 404 27 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:11:51:50 +0000] "POST /letter/66337d14aa0eea350001e812/create?studentID=66337d14aa0eea350001e812 HTTP/1.1" 500 47 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:11:55:18 +0000] "POST /letter/?studentId=66337d14aa0eea350001e812/create HTTP/1.1" 404 27 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:11:55:32 +0000] "POST /letter/studentId=66337d14aa0eea350001e812/create HTTP/1.1" 500 366 "-" "PostmanRuntime/7.38.0"
::1 - - [02/May/2024:11:55:43 +0000] "POST /letter/66337d14aa0eea350001e812/create HTTP/1.1" 500 47 "-" "PostmanRuntime/7.38.0"
::1 - - [04/May/2024:13:10:17 +0000] "POST /student/register HTTP/1.1" 404 27 "-" "PostmanRuntime/7.38.0"
::1 - - [04/May/2024:13:11:35 +0000] "POST /student/create-account HTTP/1.1" 500 91 "-" "PostmanRuntime/7.38.0"
::1 - - [04/May/2024:13:11:53 +0000] "POST /student/create-account HTTP/1.1" 201 318 "-" "PostmanRuntime/7.38.0"
::1 - - [04/May/2024:13:13:20 +0000] "POST /student/create-account HTTP/1.1" 201 312 "-" "PostmanRuntime/7.38.0"
::1 - - [12/May/2024:13:18:11 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [12/May/2024:13:20:26 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [12/May/2024:13:20:26 +0000] "POST /student/create-account HTTP/1.1" 500 137 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [12/May/2024:13:24:09 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [12/May/2024:13:24:10 +0000] "POST /student/create-account HTTP/1.1" 201 329 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:11:10:28 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:11:10:32 +0000] "POST /student/create-account HTTP/1.1" 500 48 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:11:20:00 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:11:20:01 +0000] "POST /student/create-account HTTP/1.1" 404 44 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:11:21:28 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:11:21:30 +0000] "POST /student/create-account HTTP/1.1" 500 48 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:11:26:10 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:11:26:12 +0000] "POST /student/create-account HTTP/1.1" 201 317 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:11:28:55 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:11:28:56 +0000] "POST /student/create-account HTTP/1.1" 201 312 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:35:35 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:36:09 +0000] "POST /student/create-account HTTP/1.1" 500 76 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:51:29 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:51:32 +0000] "POST /student/create-account HTTP/1.1" 201 314 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:57:15 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:57:16 +0000] "POST /student/login HTTP/1.1" 201 466 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:57:54 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:57:54 +0000] "POST /student/login HTTP/1.1" 201 466 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:58:18 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:58:19 +0000] "POST /student/login HTTP/1.1" 201 466 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:59:47 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:12:59:48 +0000] "POST /student/login HTTP/1.1" 201 466 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:19:22:28 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [13/May/2024:19:22:31 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [13/May/2024:19:48:20 +0000] "POST /create-account HTTP/1.1" 404 27 "-" "HTTPie"
::1 - - [14/May/2024:14:12:51 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:14:12:52 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:15:21:27 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:15:21:28 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:17:02:11 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:17:02:12 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:17:49:40 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:17:49:42 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:20:32:40 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:20:32:41 +0000] "POST /student/create-account HTTP/1.1" - - "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:20:35:04 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:20:35:05 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:20:36:34 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:20:36:34 +0000] "POST /student/create-account HTTP/1.1" - - "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:20:41:52 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:20:41:53 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:20:51:45 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:20:52:43 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:20:52:44 +0000] "POST /student/create-account HTTP/1.1" - - "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:17:33 +0000] "OPTIONS /student/create-account HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:17:55 +0000] "POST /student/create-account HTTP/1.1" - - "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:18:54 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:19:08 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:19:08 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:19:08 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:19:08 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:19:08 +0000] "POST /student/login HTTP/1.1" - - "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:19:08 +0000] "POST /student/login HTTP/1.1" - - "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:34:07 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:34:37 +0000] "POST /student/login HTTP/1.1" 500 76 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:34:39 +0000] "POST /student/login HTTP/1.1" 500 76 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:34:58 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [14/May/2024:21:35:17 +0000] "POST /student/login HTTP/1.1" - - "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [15/May/2024:00:24:22 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [15/May/2024:00:24:23 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [15/May/2024:00:24:24 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [15/May/2024:00:51:52 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [15/May/2024:00:51:53 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [15/May/2024:00:51:55 +0000] "POST /student/login HTTP/1.1" 201 482 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [15/May/2024:00:51:57 +0000] "OPTIONS /student/login HTTP/1.1" 204 0 "http://127.0.0.1:5500/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
